cycle,sum(ville collect each.S),sum(ville collect each.I),sum(ville collect each.Le),sum(ville collect each.Lf),sum(ville collect each.T),sum(ville collect each.K),sum(ville collect each.R1),sum(ville collect each.R2)
0,100000.66666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,99011.37903053264,1.0393449865146074,1.021532036013395,0.00416189451918502,0.00010188039652386,0.00003056411895716,0.01377080648682162,0.00765044804823423
2,99017.98028903239,1.0809938500925078,2.0491309698312032,0.0166098269086116,0.00020767983144708,0.00006230394943412,0.03719517820136459,0.02066398788964699
3,99024.53454179016,1.1256097525627426,3.095431801255878,0.03732119153839003,0.00031765627123718,0.00009529688137116,0.07047911121030104,0.03915506178350057
4,99031.03859218911,1.1733397066326532,4.163009469268929,0.06633604792290657,0.00043210828021968,0.0001296324840659,0.11390120932723832,0.0632784496262435
5,99037.48908485421,1.2243399932416092,5.254528390212142,0.10371520372145598,0.00055134920025944,0.00016540476007783,0.16776526644786788,0.09320292580437103
6,99043.88249574295,1.278776679318364,6.37274970448181,0.14954066492124984,0.00067570808412603,0.00020271242523781,0.23240135282699825,0.1291118626816657
7,99050.21512168997,1.3368261683869131,7.520538868243094,0.20391613977637274,0.00080553068105898,0.00024165920431769,0.30816697455161646,0.17120387475089804
8,99056.4830693728,1.3986757861533623,8.700873613761935,0.2669675986108339,0.00094118047785608,0.00028235414335682,0.39544830990110696,0.21969350550061498
9,99062.68224366204,1.464524403363975,9.91685230334612,0.33884389176045604,0.00108303979902402,0.0003249119397072,0.4946615265075859,0.274811959170881
10,99068.80833531896,1.5345830983954432,11.171702703380959,0.41971742810422163,0.00123151096976388,0.00036945329092916,0.6062541834627829,0.3368078797015461
11,99074.85680799992,1.6090758622237455,12.468791206546491,0.5097849168215725,0.00138701754581426,0.00041610526374428,0.7307067227636563,0.40594817931314237
12,99080.82288452507,1.6882403486191415,13.811632532020178,0.6092681752087866,0.00155000561444413,0.00046500168433324,0.8685340547475933,0.4825189193042184
13,99086.70153236529,1.7723286726334222,15.203899935310732,0.7184150055957566,0.00172094517117743,0.00051628355135323,1.0202872424403107,0.5668262458001726
14,99092.48744830022,1.8616082606832465,16.649435961344963,0.8375001446251501,0.00190033157714414,0.00057009947314324,1.1865552900261183,0.6591973833478435
15,99098.17504219455,1.9563627557920977,18.152263776550786,0.9668262883900043,0.00208868710228891,0.00062660613068667,1.3679670409517655,0.7599816894176474
16,99103.75841983916,2.0568929818352486,19.716599117957493,1.1067251971743073,0.00228656256003202,0.00068596876800961,1.5651931914924078,0.8695517730513377
17,99109.231364798,2.1635179709394357,21.34686289978172,1.2575588838051788,0.00249453903936964,0.00074836171181089,1.7789484259420527,0.9883046810789182
18,99114.58731919895,2.2765760585243635,23.047694520598213,1.4197208899060847,0.0027132297408244,0.00081396892224732,2.0099936799419966,1.1166631555233315
19,99119.81936340265,2.3964260508395383,24.823965917023273,1.5936376546393967,0.00294328192311562,0.00088298457693468,2.2591385388300007,1.255076966016667
20,99124.92019447881,2.5234484702505435,26.680796412882323,1.779769980844953,0.00318537896791468,0.0009556136903744,2.527243778281119,1.404024321267288
21,99129.88210341446,2.658046883967305,28.623568416109766,1.9786146038206607,0.00344024257058876,0.00103207277117663,2.8152240549190233,1.5640133638439015
22,99134.69695097436,2.800649322387135,30.657944019158037,2.190705868353204,0.00370863506541841,0.00111259051962552,3.1240507550051446,1.7355837527806357
23,99139.35614212799,2.9517097937519305,32.78988256249602,2.416617519993439,0.0039913618944069,0.00119740856832207,3.4547550097628204,1.9193083387571224
24,99143.85059895109,3.1117099023967727,35.02565922487788,2.656964616984041,0.00428927422948571,0.00128678226884571,3.808430886365737,2.1157949368698534
25,99148.17073190445,3.2811605785019795,37.37188470848782,2.9124055696885067,0.0046032717586668,0.00138098152760004,4.1862387641149885,2.3256882022861043
26,99152.30640938564,3.4606039279586005,39.83552609184256,3.183644314843064,0.00493430564750412,0.00148029169425124,4.589408905847836,2.5496716143599083
27,99156.24692544124,3.650615211725474,42.423928928492934,3.4714326324589804,0.0052833816881108,0.00158501450643324,5.019245235164438,2.788469575091354
28,99159.98096552063,3.851804964902072,45.14484067514227,3.77657261374483,0.00565156364894203,0.00169546909468261,5.477129330626972,3.0428496281260955
29,99163.49657014274,4.06482126667427,48.00643553883009,4.099919288999629,0.00603997683960478,0.00181199305188143,5.964524648679237,3.313624804821799
30,99166.78109633888,4.2903521733197625,51.0173408393558,4.44238342505157,0.00644981190610307,0.00193494357183092,6.48298098765443,3.601656104252461
31,99169.821176724,4.52912832759711,54.18666499018294,4.804934502486956,0.00688232887318244,0.00206469866195473,7.034139205884319,3.9078551143801774
32,99172.60267603931,4.7819257590999085,57.524027208720845,5.188603883633913,0.00733886145180926,0.00220165843554278,7.6197362075949115,4.233186781997173
33,99175.11064499593,5.049568891549174,61.039589075179165,5.594488183039564,0.00782082163132409,0.00234624648939723,8.241610210971075,4.578672339428375
34,99177.32927123873,5.332933774538599,64.74408806819271,6.0237528530125335,0.00832970457745534,0.0024989113732366,8.901706313495431,4.945392396386351
35,99179.24182723393,5.632951558956502,68.64887321518367,6.477635997699827,0.00886709385918792,0.00266012815775638,9.602082370413742,5.334490205785412
36,99180.83061487091,5.9506122372051395,72.76594300603658,6.9574524301339835,0.00943466702946638,0.00283040010883991,10.34491520294876,5.7471751127493125
37,99182.07690655222,6.2869686714450665,77.10798573018707,7.464597987729037,0.01003420158689577,0.00301026047606873,11.132507153674977,6.1847261964861
38,99182.9608825281,6.643140935434874,81.68842240975333,8.000554122828845,0.01066758134800511,0.00320027440440153,11.967293007274876,6.648496115152709
39,99183.46156421377,7.020320998143837,86.52145251496422,8.566892786126306,0.0113368032622852,0.00340104097868556,12.851847295720118,7.139915164288955
40,99183.55674320704,7.419777780219008,91.62210266296098,9.165281622084535,0.01204398470513056,0.00361319541153917,13.788892007753082,7.660495559862825
41,99183.22290570168,7.842862617626325,97.00627851718437,9.797489496910373,0.01279137128703638,0.00383741138611092,14.781304723380071,8.211835957433374
