cycle,first(list<ville>(ville) where (each.compte_ville = 5)).S,first(list<ville>(ville) where (each.compte_ville = 5)).I,first(list<ville>(ville) where (each.compte_ville = 5)).Le,first(list<ville>(ville) where (each.compte_ville = 5)).Lf,first(list<ville>(ville) where (each.compte_ville = 5)).T,first(list<ville>(ville) where (each.compte_ville = 5)).K,first(list<ville>(ville) where (each.compte_ville = 5)).R1,first(list<ville>(ville) where (each.compte_ville = 5)).R2
0,16667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16502.299881707793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16503.586528310996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16504.872889310358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16506.158964769274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,16507.444754751126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16508.730259319284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16510.0154785371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,16511.30041246792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,16512.585061175072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,16513.869424721863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16515.153503171594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,16516.43729658755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16517.720805032997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,16519.0040285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16520.28696726539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16521.569621178805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,16522.851990374656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16524.134074916143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,16525.415874866452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,16526.69739028876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,16527.978621246217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,16529.25956780197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,16530.540230019153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,16531.82060796088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,16533.10070169025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,16534.380511270356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,16535.660036764268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,16536.939278235048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16538.218235745742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,16539.496909359383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,16540.77529913899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,16542.053405147566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,16543.3312274481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,16544.608766103567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,16545.886021176935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,16547.162992731148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,16548.43968082914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,16549.71608553383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,16550.99220690813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,16552.268045014927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,16553.543599917102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,16554.81887167752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,16556.093860359026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,16557.368566024463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,16558.64298873665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,16559.917128558398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,16561.1909855525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,16562.46455978174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,16563.73785130888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,16565.010860196675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,16566.283586507863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,16402.55603030517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,16403.815323079772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,16405.074336322406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,16406.333070095123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,16407.59152445996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,16408.849699478935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,16410.107595214056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,16411.36521172732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,16412.622549080705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,16413.87960733618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,16415.136386555696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,16416.392886801194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,16417.649108134596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,16418.905050617817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,16420.16071431275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,16421.416099281287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,16422.67120558529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,16423.92603328662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,16425.180582447123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,16426.434853128623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,16427.68884539294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,16428.942559301868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,16430.1959949172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,16431.449152300713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,16432.702031514164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,16518.9546326193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,16608.213584941983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,16609.47912104642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,16610.744376233026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,16612.009350564156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,16613.274044102152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,16614.538456909348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,16615.802589048053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,16617.066440580573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,16618.330011569196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,16619.593302076195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,16620.856312163825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,16622.11904189434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,16623.38149132997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,16624.64366053293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,16625.905549565425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,16627.16715848965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,16628.42848736778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,16629.689536261976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,16630.950305234393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,16632.210794347164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,16633.47100366241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,16634.730933242237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,16635.990583148745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,16637.24995344401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,16638.5090441901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,16473.76785544907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,16475.01344072008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,16476.25874950185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,16477.503781855754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,16478.748537843156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,16479.993017525398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,16481.237220963816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,16482.48114821973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,16483.72479935444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,16484.968174429243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,16486.211273505418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,16487.454096644226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,16488.696643906922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,16489.93891535474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,16491.18091104891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,16492.422631050635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,16493.66407542112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,16494.90524422154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,16496.14613751307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,16497.386755356867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,16498.62709781407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,16499.867164945812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,16501.106956813204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,16502.34647347735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,16503.585714999343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,16593.82468144025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,16689.07031409063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,16690.323001427463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,16691.575410698573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,16692.827541965686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,16694.079395290508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,16695.33097073474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,16696.58226836006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,16697.83328822814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,16699.084030400634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,16700.334494939187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,16701.584681905424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,16702.83459136096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,16704.084223367394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,16705.333577986312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,16706.58265527929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,16707.831455307885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,16709.079978133646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,16710.328223818102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,16711.576192422774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,16712.823884009165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,16714.07129863877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,16715.31843637306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,16716.565297273504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,16717.81188140155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,16719.05818881864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,16553.30421958619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,16554.53694921139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,16555.769405200987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,16557.001587615723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,16558.233496516325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,16559.465131963505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,16560.696494017964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,16561.927582740387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,16563.15839819145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,16564.388940431807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
